sales_id,invoice_number,date,employee,payment_type,product_code,category,product,platform,qty,unit_price,total,Precio de Costo,Total COGS,Ganancia Neta,product_id
19105,13221,2023-08-16,Fausto,Efectivo,987456321397,Tramites,Cuil,,3,150,450,0.0,0.0,450.0,394.0
19535,13518,2023-08-24,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
19686,13625,2023-08-26,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
19795,13695,2023-08-28,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
20022,13850,2023-09-01,Fausto,Efectivo,987456321397,Tramites,Cuil,,2,200,400,0.0,0.0,400.0,394.0
20176,13960,2023-09-04,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
20257,14018,2023-09-05,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,2,200,400,0.0,0.0,400.0,394.0
20690,14339,2023-09-13,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
21078,14622,2023-09-20,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
21081,14623,2023-09-20,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
21164,14680,2023-09-21,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
21404,14861,2023-09-25,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
22023,15289,2023-10-07,Fausto,Efectivo,987456321397,Tramites,Cuil,,2,200,400,0.0,0.0,400.0,394.0
22159,15386,2023-10-10,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
22163,15387,2023-10-10,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
22553,15676,2023-10-17,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
22560,15679,2023-10-17,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,3,200,600,0.0,0.0,600.0,394.0
22563,15680,2023-10-17,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,2,200,400,0.0,0.0,400.0,394.0
22573,15687,2023-10-17,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,2,200,400,0.0,0.0,400.0,394.0
22932,15952,2023-10-25,Marisa y Kuky,Mercado Pago,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
23203,16146,2023-10-31,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
23531,16386,2023-11-07,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
23591,16425,2023-11-08,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
23884,16648,2023-11-14,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
23886,16649,2023-11-14,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
24032,16736,2023-11-17,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
24182,16850,2023-11-21,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
24217,16877,2023-11-22,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
24398,17010,2023-11-25,Fausto,Efectivo,987456321397,Tramites,Cuil,,4,200,800,0.0,0.0,800.0,394.0
24644,17168,2023-11-28,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
25036,17455,2023-12-06,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,2,200,400,0.0,0.0,400.0,394.0
25310,17654,2023-12-11,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
25334,17668,2023-12-11,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,2,200,400,0.0,0.0,400.0,394.0
25446,17746,2023-12-13,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
25491,17774,2023-12-14,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,3,200,600,0.0,0.0,600.0,394.0
25565,17827,2023-12-15,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
25966,18118,2023-12-20,Fausto,Efectivo,987456321397,Tramites,Cuil,,1,200,200,0.0,0.0,200.0,394.0
26074,18196,2023-12-22,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,300,300,0.0,0.0,300.0,394.0
27644,19344,2024-01-16,Marisa y Kuky,Efectivo,987456321397,Tramites,Cuil,,1,300,300,0.0,0.0,300.0,394.0
20834,14448,2023-09-15,Marisa y Kuky,Efectivo,987456321397,Tramites,CURRICULUM,,1,1000,1000,0.0,0.0,1000.0,394.0
2586,1752,2023-01-06,Marisa y Kuky,Efectivo,,,DOCUMENTO,,1,400,400,0.0,0.0,400.0,
2588,1753,2023-01-06,Marisa y Kuky,Efectivo,,,DOCUMENTO,,1,400,400,0.0,0.0,400.0,
9371,6425,2023-03-20,Marisa y Kuky,Efectivo,,,DOCUMENTO,,1,500,500,0.0,0.0,500.0,
14112,9726,2023-05-23,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,600,600,0.0,0.0,600.0,394.0
14432,9977,2023-05-29,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,600,600,0.0,0.0,600.0,394.0
14477,10012,2023-05-30,Marisa y Kuky,Efectivo,987456321397,Tramites,Domicilio,,1,600,600,0.0,0.0,600.0,394.0
14481,10014,2023-05-30,Fausto,Efectivo,987456321397,Tramites,Domicilio,,2,600,1200,0.0,0.0,1200.0,394.0
14539,10053,2023-05-31,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,600,600,0.0,0.0,600.0,394.0
14548,10062,2023-05-31,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,600,600,0.0,0.0,600.0,394.0
14683,10152,2023-06-02,Fausto,Efectivo,987456321397,Tramites,Domicilio,,1,1000,1000,0.0,0.0,1000.0,394.0
