sales_id,invoice_number,date,employee,payment_type,platform,qty,total,product_id
15692,10844,2023-06-17,Marisa y Kuky,Efectivo, ,2,2000.0,394
15881,10984,2023-06-21,Fausto,Efectivo, ,1,1000.0,394
15885,10987,2023-06-21,Fausto,Efectivo, ,1,1000.0,394
15939,11027,2023-06-22,Fausto,Efectivo, ,1,1000.0,394
15941,11029,2023-06-22,Fausto,Efectivo, ,1,1000.0,394
15984,11062,2023-06-23,Marisa y Kuky,Efectivo, ,1,1000.0,394
15988,11064,2023-06-23,Marisa y Kuky,Efectivo, ,1,1000.0,394
16171,11198,2023-06-26,Marisa y Kuky,Efectivo, ,1,1000.0,394
16176,11202,2023-06-26,Fausto,Efectivo, ,2,2000.0,394
16217,11228,2023-06-27,Marisa y Kuky,Efectivo, ,2,2000.0,394
16388,11351,2023-06-30,Fausto,Efectivo, ,1,1000.0,394
16628,11524,2023-07-03,Marisa y Kuky,Efectivo, ,1,1000.0,394
16658,11545,2023-07-04,Fausto,Efectivo, ,1,900.0,394
16747,11605,2023-07-05,Marisa y Kuky,Efectivo, ,1,1000.0,394
17078,11837,2023-07-10,Fausto,Efectivo, ,1,1000.0,394
17130,11871,2023-07-11,Fausto,Efectivo, ,1,1000.0,394
17140,11878,2023-07-11,Fausto,Efectivo, ,1,1000.0,394
17418,12073,2023-07-17,Fausto,Efectivo, ,1,1000.0,394
17428,12079,2023-07-17,Fausto,Efectivo, ,1,1000.0,394
17475,12108,2023-07-18,Marisa y Kuky,Efectivo, ,1,1000.0,394
17500,12125,2023-07-18,Marisa y Kuky,Efectivo, ,1,1000.0,394
17671,12227,2023-07-21,Marisa y Kuky,Efectivo, ,1,1000.0,394
17967,12436,2023-07-27,Marisa y Kuky,Efectivo, ,2,2000.0,394
17992,12455,2023-07-28,Fausto,Efectivo, ,1,1000.0,394
18311,12683,2023-08-02,Marisa y Kuky,Efectivo, ,2,2000.0,394
18321,12689,2023-08-02,Marisa y Kuky,Efectivo, ,1,1000.0,394
18354,12711,2023-08-03,Marisa y Kuky,Efectivo, ,1,1000.0,394
18399,12746,2023-08-04,Fausto,Efectivo, ,1,1000.0,394
18597,12885,2023-08-07,Marisa y Kuky,Efectivo, ,1,1000.0,394
18612,12896,2023-08-07,Marisa y Kuky,Debito, ,1,1000.0,394
18655,12924,2023-08-08,Marisa y Kuky,Efectivo, ,1,1000.0,394
18697,12959,2023-08-09,Fausto,Efectivo, ,1,1000.0,394
18762,12997,2023-08-10,Fausto,Efectivo, ,3,3000.0,394
18764,12998,2023-08-10,Fausto,Efectivo, ,1,1000.0,394
18819,13032,2023-08-11,Marisa y Kuky,Efectivo, ,1,1000.0,394
18820,13032,2023-08-11,Marisa y Kuky,Efectivo, ,1,1000.0,394
18994,13150,2023-08-14,Fausto,Efectivo, ,1,1000.0,394
18995,13151,2023-08-14,Fausto,Efectivo, ,1,1000.0,394
19054,13185,2023-08-15,Fausto,Efectivo, ,1,1000.0,394
19157,13254,2023-08-17,Fausto,Efectivo, ,1,1000.0,394
19205,13287,2023-08-18,Fausto,Efectivo, ,3,3000.0,394
19223,13300,2023-08-18,Marisa y Kuky,Efectivo, ,1,1000.0,394
19327,13368,2023-08-20,Fausto,Efectivo, ,1,1000.0,394
19422,13437,2023-08-22,Fausto,Efectivo, ,1,1000.0,394
19435,13443,2023-08-22,Fausto,Efectivo, ,1,1000.0,394
19437,13444,2023-08-22,Fausto,Efectivo, ,1,1000.0,394
19442,13446,2023-08-22,Fausto,Efectivo, ,1,1000.0,394
19468,13466,2023-08-22,Marisa y Kuky,Efectivo, ,1,1000.0,394
19473,13470,2023-08-22,Marisa y Kuky,Efectivo, ,1,1000.0,394
19505,13492,2023-08-23,Fausto,Debito, ,1,1000.0,394
19522,13508,2023-08-23,Marisa y Kuky,Efectivo, ,1,1000.0,394
19548,13524,2023-08-24,Marisa y Kuky,Efectivo, ,1,1000.0,394
19559,13532,2023-08-24,Marisa y Kuky,Efectivo, ,1,1000.0,394
19560,13533,2023-08-24,Marisa y Kuky,Efectivo, ,2,2000.0,394
19567,13540,2023-08-24,Marisa y Kuky,Efectivo, ,1,100.0,394
19572,13543,2023-08-24,Marisa y Kuky,Efectivo, ,2,2000.0,394
19576,13546,2023-08-24,Marisa y Kuky,Efectivo, ,1,1000.0,394
19632,13585,2023-08-25,Fausto,Efectivo, ,1,1000.0,394
19666,13611,2023-08-26,Fausto,Efectivo, ,1,1000.0,394
19687,13625,2023-08-26,Marisa y Kuky,Efectivo, ,1,1000.0,394
19820,13713,2023-08-28,Marisa y Kuky,Efectivo, ,1,1000.0,394
